id,"place_ja","place_en",longitude,latitude,"created_at","updated_at",area_id,"img_src","link","insta1","insta2","instaname","youtube"
1,"金閣寺","Kinkaku-ji",135.729243,35.03937,NULL,NULL,2,"kyoto/Kinkaku_menu.jpg","http://www.shokoku-ji.jp/k_about.html","link-c70078dda5fd9f18f535c5db87bf002eb390c98bb4d4da169bef7c3491c97807","u=c70078dda5fd9f18f535c5db87bf002eb390c98bb4d4da169bef7c3491c97807","kinkakuji","https://www.youtube.com/watch?v=OYjwQxSnf6o"
2,"清水寺","Kiyomizu-dera",135.779945,34.997072,NULL,NULL,2,"kyoto/Kiyomizu_menu.jpg","https://www.kiyomizudera.or.jp/","link-c51dfd8d610dd4a6e081dc2c6e375e9ade131b4b33c8bab8eeb3d323e58671ac","u=c51dfd8d610dd4a6e081dc2c6e375e9ade131b4b33c8bab8eeb3d323e58671ac","kiyomizudera",""
3,"祇園","Gion",135.775204,35.002684,NULL,NULL,2,"kyoto/Gion_menu.jpg","https://www.japan-guide.com/e/e3902.html","link-1c3317563d6ccd95a972e1c4355f0e777eb75ea3b2dac509bdc98707c0f9be57","u=1c3317563d6ccd95a972e1c4355f0e777eb75ea3b2dac509bdc98707c0f9be57","gion",""
4,"嵐山","Arashiyama",135.666773,35.009449,NULL,NULL,2,"kyoto/Arashiyama_menu.jpg","https://www.insidekyoto.com/arashiyama","link-693b9176c95cec5b563b596d8e92f00ba36a4062b40a33e5fd233381106eaa29","u=693b9176c95cec5b563b596d8e92f00ba36a4062b40a33e5fd233381106eaa29","arashiyama",""
5,"平等院","Byodo-in",135.807678,34.889291,NULL,NULL,2,"kyoto/Byodo_menu.jpg","https://www.byodoin.or.jp/","link-abe5232e5ec531790dab7446f23431b7493955efa7342c0ef0c22456451c544c","u=abe5232e5ec531790dab7446f23431b7493955efa7342c0ef0c22456451c544c","byodoin",""
6,"伏見","Fushimi",135.772672,34.96714,NULL,NULL,2,"kyoto/Fushimi_menu.jpg","http://inari.jp/en/","link-97b6f3e3a0f1cc3895088fe02409448f0173396ff9c06c907d1088f0c365662b","u=97b6f3e3a0f1cc3895088fe02409448f0173396ff9c06c907d1088f0c365662b","Fushimi",""
7,"銀座","Ginza",139.766486,35.671223,NULL,NULL,1,"Tokyo/Ginza_menu.jpg","https://www.ginza.jp/","link-e79cdd5f548bb09dfb7d577c06de557047a813dc8f6edd70c605ed2eee916dbb","u=e79cdd5f548bb09dfb7d577c06de557047a813dc8f6edd70c605ed2eee916dbb","ginza","https://www.youtube.com/watch?v=aj9i3ZCNuEo"
8,"上野","Ueno",139.774154,35.70873,NULL,NULL,1,"Tokyo/Ueno_menu.jpg","https://www.gotokyo.org/jp/destinations/northern-tokyo/ueno/index.html","link-527099d76d6a2bbbd4870950c0e5b3ad0c215d9f7f71f538468ee24de4aaf0ad","u=527099d76d6a2bbbd4870950c0e5b3ad0c215d9f7f71f538468ee24de4aaf0ad","ueno","https://www.youtube.com/watch?v=qClEMVG2V8w"
9,"渋谷","Shibuya",139.701636,35.658034,NULL,NULL,1,"Tokyo/Shibuya_menu.jpg","https://www.city.shibuya.tokyo.jp/bunka/","link-cb29301f03748ef4a9fb761bd996dd791c20a396868b753c3e6101b24f53cbe4","u=cb29301f03748ef4a9fb761bd996dd791c20a396868b753c3e6101b24f53cbe4","shibuya","https://www.youtube.com/watch?v=l3yfoKYgQGE"
10,"東京タワー","TokyoTower",139.745433,35.658581,NULL,NULL,1,"Tokyo/Tokyotower_menu.jpg","https://www.tokyotower.co.jp/","link-4f539f1e6f8668333c73c6717ec2b0b81e4fefd7492eacf1d3ae2e4933744d04","u=4f539f1e6f8668333c73c6717ec2b0b81e4fefd7492eacf1d3ae2e4933744d04","tokyotower","https://www.youtube.com/watch?v=bgkiO6tAQSg"
