id,"nickname","text","country","feeling",place_id,"created_at","updated_at"
1,"田中太郎","オリンピックを控え、あちこちで工事をしていました。来年夏前にはすっかりきれいに様変わりすることでしょう。いつ行っても変化があり、ウィンドウショッピングだけでもワクワクします。","Japan","good",7,"2019-06-19 07:55:09","2019-06-19 07:55:09"
31,"銀座幾三","銀座にある三越にいきました。最近は外国人観光客の方がおおいですが、おしゃれな建物もたくさんあり楽しいです。","Japan","good",7,"2019-06-19 07:56:07","2019-06-19 07:56:07"
32,"Lemonman","Staying in nearby Kyobashi, I loved walking in Ginza in the early morning with my camera. Loved the greenery throughout the main areas of Ginza and interesting laneways. More to see than just the big shopping brands.","Australia","good",7,"2019-06-19 07:57:22","2019-06-19 07:57:22"
33,"李 周","银座就在东京站附近，在东京市中心，要过去逛街很方便。这里有各种国际奢侈品牌和日本当地品牌的专卖店，购物体验很好。不过这里的商品比较贵，更多的是面向游客和高消费人群。","China","bad",7,"2019-06-19 07:58:38","2019-06-19 07:58:38"
34,"ChineChine65","银座是东京高档奢华的购物区。你可以在人行道漫步，浏览橱窗，特别不要错过本土商场地下两层楼的食物区。如果你喜欢养殖珍珠的话，不要错过松屋。不过还是将钱包和信用卡放在家里吧，因为价格太贵了！","China","omotenashi",7,"2019-06-19 07:59:39","2019-06-19 07:59:39"
35,"香港太郎","上野有面积广大的上野公园与上野动物园，很适合全家大小一起旅游，阿美横町商店街有许多吃喝玩乐的店家，像是台湾的夜市一般，可以来此地逛逛采购。","Hongkong","good",8,"2019-06-19 08:02:20","2019-06-19 08:02:20"
36,"ペ・ヨンジュン","우에노 공원과 같이 바쁜 일본 여행 일정 마치고 마지막날에 여유있게 산책하듯이 둘러보실것을 추천합니다.
짐은 역에서 돈받고 맡아줍니다.","Korea","good",8,"2019-06-19 08:03:03","2019-06-19 08:03:03"
37,"Ha ore ta","Ha ore ta. Sai a ku.","Singapore","bad",9,"2019-06-19 08:04:13","2019-06-19 08:04:13"
38,"渋谷 ウェイ男","今日も朝まで踊り明かすぞ！！！！！！！！
Foooo!!!!!!!!!!!!!!!!!!!!!!!!","Japan","good",9,"2019-06-19 08:05:20","2019-06-19 08:05:20"
39,"チャン・ドンゴン","アナタノコトガスキダカラー","Korea","good",9,"2019-06-19 08:06:07","2019-06-19 08:06:07"
40,"Mike","Don't be put off by the thought that this is just another observation deck. This is truly an iconic Tokyo attraction that deserves your attention. Other than the views, (which are wonderful) the pride that the city has for this site is evident. The friendly and helpful staff really make the effort to ensure you enjoy your visit. Make sure you pay a little more and do the Top Deck tour. The personised touches from your own photo to a free drink really made the visit special on the tour. Check out the glass floor skywalk feature and see the hidden elevator. I have no hesitation in saying this was the best obversation deck experience I have ever done and I would definitely come back.","England","good",10,"2019-06-19 08:07:45","2019-06-19 08:07:45"
41,"Tapioka","Salah satu icon kota tokyo berwarna mencolok sehingga sangat kontras saat diphoto. Berlokasi dekat stasiun subway menjadikan objek ini sangat mudah untuk didatangi. Walaupun saat ini sudah bukan menjadi yg tertinggi, namun masih sangat layak untuk disinggahi. Terdapat souvenir shop sebagai tempat menbeli kenang-kenangan sesaat setelah kita turun dari observation deck atau menikmati banana tokyo di toko saat menjelang keluar area tower ini. Tempat yang tidak boleh dilewatkan saat berkunjung ke Tokyo.","Indonesia","omotenashi",10,"2019-06-19 08:08:45","2019-06-19 08:08:45"
42,"三度の飯より東京タワーが好き","愛してる（はぁと）","Japan","good",10,"2019-06-19 08:09:24","2019-06-19 08:09:24"
43,"Fran","Il faisait plutôt gris ce jour là. La vue était tout de même suffisante pour voir la mégapole de Tokyo !! Cela donne au début un peu le vertige, même si d'habitude je ne l'ai pas.
Finalement, pas du tout de queue, revers de la médaille vu le temps. Vue spectaculaire, et les photos rendent plutôt bien...","France","good",11,"2019-06-19 08:11:00","2019-06-19 08:11:00"
44,"好东京晴空塔","东京晴空塔<SKY Tree Town>~有二个赏景楼层区~~
340~350公尺楼区称为<天望甲板>;450公尺区称为<天望回廊>,
晴朗的天气,登高俯瞰东京街景,非常漂亮清晰~~
高速电梯从4~350公尺赏景是一张门票,350~450公尺景区又需另一张门票~
二张票一起买比较划算,评日又比假日便宜~
很推荐东京必游景点,从东京高空俯瞰街景,绝佳的视野,美丽的景致~~","Taiwan","good",11,"2019-06-19 08:11:50","2019-06-19 08:11:50"
